Feature,1003559
高度(mm),2285
驱动电机数,-
驱动方式,中置后驱
防紫外线玻璃,-
长度(mm),6070
长*宽*高(mm),6070×1880×2285
铝合金轮圈,-
遮阳板化妆镜,-
遥控钥匙,-
远光灯,卤素
近光灯,卤素
轴距(mm),3720
车顶行李架,-
车门数(个),4
车载电视,-
车载冰箱,-
车身结构_y,客车
车身结构_x,客车
车身稳定控制(ESC/ESP/DSC等),-
车窗防夹手功能,-
车型名称,金旅大海狮新能源 2015款 纯电动
车内中控锁,●
车体结构,承载式
货箱尺寸(mm),-
行车电脑显示屏,-
蓝牙/车载电话,-
腰部支撑调节,-
能源类型,纯电动
胎压监测装置,-
级别,轻客
简称,电动车单速变速箱
第二排靠背角度调节,-
第二排座椅移动,-
第三排座椅,3座
空调控制方式,手动●
皮质方向盘,-
百公里耗电量(kWh/100km),-
电池组质保,-
电池类型,-
电池容量(kWh),-
电池充电时间,-
电机类型,-
电机布局,-
电动机总扭矩(N·m),-
电动机总功率(kW),100
电动天窗,-
电动吸合门,-
电动后备厢,-
牵引力控制(ASR/TCS/TRC等),-
温度分区控制,-
油箱容积(L),-
最高车速(km/h),-
最小离地间隙(mm),170
最大载重质量(kg),-
最大扭矩(N·m),-
最大功率(kW),100
无钥匙进入系统,-
无钥匙启动系统,-
方向盘调节,-
方向盘电动调节,-
整车质保,待查
整备质量(kg),-
挡位个数,1
扬声器品牌,-
扬声器个数,4-5喇叭
慢充时间(小时),-
快充电量百分比,-
快充电量(%),-
快充时间(小时),-
座椅高低调节,-
座椅材料,织物
座位数(个),10-18
工信部续航里程(km),-
工信部纯电续驶里程(km),-
宽度(mm),1880
定速巡航,-
安全带未系提示,-
大灯高度可调,-
多功能方向盘,-
外接音源接口,USB
后风挡遮阳帘,-
后雨刷,●
后轮距(mm),-
后轮胎规格,215/75 R16
后视镜电动调节,-
后视镜加热,-
后电动机最大扭矩(N·m),-
后电动机最大功率(kW),100
后排车门开启方式,侧滑门
后排独立空调,●
后排液晶屏,-
后排杯架,-
后排座椅电动调节,-
后排座椅放倒方式,-
后排侧遮阳帘,-
后悬架类型,钢板弹簧非独立悬架
后座出风口,●
后制动器类型,未知
变速箱类型,固定齿比变速箱
厂商指导价(元),75.00万
厂商,厦门金旅
助力类型,液压助力
前雾灯,-
前轮距(mm),-
前轮胎规格,215/75 R16
前电动机最大扭矩(N·m),-
前电动机最大功率(kW),-
前悬架类型,双横臂独立悬挂
前制动器类型,未知
前/后驻车雷达,-
前/后电动车窗,前●&nbsp;/&nbsp;后-
前/后排座椅加热,-
前/后排头部气囊(气帘),-
前/后排侧气囊,-
前/后中央扶手,-
刹车辅助(EBA/BAS/BA等),-
制动力分配(EBD/CBC等),-
全景天窗,-
倒车视频影像,-
侧滑门,手动侧滑门
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,-
中控台彩色大屏,-
上市时间,2015.08
LED日间行车灯,-
ISOFIX儿童座椅接口,-
GPS导航系统,-
CD/DVD,-
ABS防抱死,-
220V/230V电源,-
